73,67,South ,,UMBC,Virginia,South,
0.443,0.46,,,Kansas St,Creighton,,
0.646,0.754,,,Kentucky,Davidson,,
0.387,0.383,,,Buffalo,Arizona,,"Winner on left, loser on right"
71,84,,,Loyola,Miami,,ppg
0.463,0.492,,,Tennessee,Wright St.,,fg
0.734,0.748,,,Nevada,Texas,,ft
0.341,0.372,,,Cincinatti,Georgia St.,,3p
85,77,,,Xavier,Texas Southern,West,
0.498,0.482,,,Florida St.,Missouri,,
0.754,0.796,,,Ohio St.,South Dakota St.,,
0.369,0.39,,,Gonzaga,UNC Greensboro,,
85,81,,,Houston,San Diego St.,,
0.473,0.504,,,Michigan ,Montana,,
0.699,0.76,,,Texas A&M,Providence,,
0.37,0.369,,,North Carolina,Lipscomb,,
72,74,,,Villanova,Radford,East,
0.507,0.465,,,Alabama,Virginia Tech,,
0.725,0.662,,,West Virginia,Murray St.,,
0.396,0.364,,,Marshall,Wichita St.,,
74,71,,,Florida ,St. Bonaventure,,
0.442,0.432,,,Texas Tech,Stephen F. Austin,,
0.755,0.715,,,Butler,Arkansas,,
0.381,0.337,,,Purdue,Cal St. Fullerton,,
83,72,,,Kansas,Penn,Midwest,
0.469,0.439,,,Seton Hall,North Carolina St.,,
0.743,0.665,,,Clemson,New Mexico St.,,
0.392,0.32,,,Auburn,Col. of Charleston,,
75,75,,,Syracuse,TCU,,
0.45,0.461,,,Michigan St.,Bucknell,,
0.693,0.674,,,Rhode Island,Oklahoma,,
0.354,0.383,,,Duke,Iona,,
84,77,,,,,,
0.492,0.438,,,,,,
0.779,0.725,,,,,,
0.372,0.359,,,,,,
80,73,,,,,,
0.468,0.45,,,,,,
0.691,0.734,,,,,,
0.35,0.383,,,,,,
76,85,,,,,,
0.48,0.467,,,,,,
0.731,0.762,,,,,,
0.353,0.403,,,,,,
84,73,,,,,,
0.498,0.445,,,,,,
0.708,0.698,,,,,,
0.368,0.353,,,,,,
77,77,,,,,,
0.464,0.459,,,,,,
0.716,0.715,,,,,,
0.389,0.337,,,,,,
74,77,,,,,,
0.468,0.467,,,,,,
0.661,0.706,,,,,,
0.357,0.339,,,,,,
75,74,,,,,,
0.46,0.441,,,,,,
0.661,0.704,,,,,,
0.329,0.332,,,,,,
82,82,,,,,,
0.457,0.453,,,,,,
0.743,0.718,,,,,,
0.359,0.328,,,,,,
87,67,East,,,,,
0.5,0.425,,,,,,
0.779,0.725,,,,,,
0.401,0.349,,,,,,
72,80,,,,,,
0.461,0.499,,,,,,
0.67,0.709,,,,,,
0.326,0.388,,,,,,
79,78,,,,,,
0.427,0.481,,,,,,
0.707,0.75,,,,,,
0.34,0.349,,,,,,
84,83,,,,,,
0.467,0.476,,,,,,
0.764,0.739,,,,,,
0.358,0.381,,,,,,
76,77,,,,,,
0.432,0.451,,,,,,
0.718,0.752,,,,,,
0.37,0.386,,,,,,
75,81,,,,,,
0.46,0.486,,,,,,
0.704,0.705,,,,,,
0.359,0.372,,,,,,
79,81,,,,,,
0.473,0.474,,,,,,
0.776,0.681,,,,,,
0.357,0.396,,,,,,
80,72,,,,,,
0.493,0.467,,,,,,
0.743,0.729,,,,,,
0.42,0.334,,,,,,
81,76,,,,,,
0.492,0.458,,,,,,
0.708,0.657,,,,,,
0.401,0.349,,,,,,
79,81,,,,,,
0.468,0.47,,,,,,
0.698,0.696,,,,,,
0.365,0.372,,,,,,
74,76,,,,,,
0.456,0.458,,,,,,
0.755,0.643,,,,,,
0.366,0.334,,,,,,
82,75,,,,,,
0.431,0.46,,,,,,
0.774,0.754,,,,,,
0.357,0.36,,,,,,
67,82,,,,,,
0.417,0.496,,,,,,
0.736,0.706,,,,,,
0.318,0.395,,,,,,
80,81,,,,,,
0.496,0.471,,,,,,
0.747,0.719,,,,,,
0.4,0.348,,,,,,
77,85,,,,,,
0.457,0.463,,,,,,
0.701,0.746,,,,,,
0.352,0.359,,,,,,
84,79,,,,,,
0.492,0.461,,,,,,
0.71,0.738,,,,,,
0.372,0.383,,,,,,
